"ID","CHR","MAPINFO","custom_Name","custom_Group","methylated_allele","tissue_specificity","associated_gene","court","hanna","sanchez_delgado","zink","hamada","note"
"cg10620784","16",68573523,"ZFP90","5'UTR","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg06067437","16",68572999,"ZFP90","TSS200","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg11625868","16",68572892,"ZFP90","TSS1500","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg02124502","16",68573025,"ZFP90","TSS200","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg17323480","16",68572959,"ZFP90","TSS200","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg16526137","16",68573552,"ZFP90","TSS200","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg27268840","16",68572937,"ZFP90","TSS1500","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg14740130","16",68572926,"ZFP90","TSS200","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg00449929","16",68573597,"ZFP90","TSS200","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg27563424","16",68573185,"ZFP90","1stExon","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg02256570","16",68573971,"ZFP90","Body","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg27561452","16",68573240,"ZFP90","TSS1500","M","placental-specific","ZFP90",NA,TRUE,NA,NA,NA,""
"cg08357850","16",74734885,"MLKL","TSS200","M","other","MLKL",NA,TRUE,NA,NA,TRUE,""
"cg09830308","16",74734321,"MLKL","5'UTR","M","other","MLKL",NA,TRUE,NA,NA,TRUE,""
"cg00270291","16",74734230,"MLKL","5'UTR","M","other","MLKL",NA,TRUE,NA,NA,TRUE,""
"cg27459981","16",74734571,"MLKL","5'UTR","M","other","MLKL",NA,TRUE,NA,NA,TRUE,""
"cg19450240","16",74734251,"MLKL","5'UTR","M","other","MLKL",NA,TRUE,NA,NA,TRUE,""
"cg26634130","16",74734876,"MLKL","TSS200","M","other","MLKL",NA,TRUE,NA,NA,TRUE,""
"cg24482427","16",74734730,"MLKL","5'UTR","M","other","MLKL",NA,TRUE,NA,NA,TRUE,""
"cg06737666","16",78080026,"RP11-281J9.2","3'UTR","M","other","CLEC3A",NA,TRUE,NA,NA,NA,""
"cg00511674","16",78080068,"RP11-281J9.2","3'UTR","M","other","CLEC3A",NA,TRUE,NA,NA,NA,""
"cg26699292","16",78079801,"RP11-281J9.2","3'UTR","M","other","CLEC3A",NA,TRUE,NA,NA,NA,""
"cg10574376","16",78079753,"RP11-281J9.2","3'UTR","M","other","CLEC3A",NA,TRUE,NA,NA,NA,""
"cg09132178","16",78079569,"RP11-281J9.2","3'UTR","M","other","CLEC3A",NA,TRUE,NA,NA,NA,""
"cg01766908","16",78080193,"RP11-281J9.2","3'UTR","M","other","CLEC3A",NA,TRUE,NA,NA,NA,""
"cg14059340","17",260292,"C17orf97","1stExon","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg12417689","17",259426,"C17orf97","TSS1500","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg15864601","17",259839,"C17orf97","TSS1500","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg00328418","17",260286,"C17orf97","1stExon","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg20698501","17",259755,"C17orf97","TSS1500","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg11383747","17",260000,"C17orf97","TSS200","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg02425140","17",259930,"C17orf97","TSS200","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg11558376","17",260589,"C17orf97","Body","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg19585061","17",259924,"C17orf97","TSS200","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg16791721","17",259991,"C17orf97","TSS200","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg20197989","17",260058,"C17orf97","TSS200","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg13477164","17",259942,"C17orf97","TSS200","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg05202629","17",259713,"C17orf97","TSS1500","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg17481490","17",259980,"C17orf97","TSS200","M","placental-specific","C17orf97",NA,TRUE,NA,NA,NA,""
"cg19425528","17",4901101,"INCA1","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg08111106","17",4901164,"INCA1","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg04726697","17",4900451,"KIF1C","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg21557914","17",4901038,"INCA1","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg12100506","17",4901134,"INCA1","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg20941843","17",4900735,"INCA1","5'UTR","M","other","",NA,NA,NA,TRUE,NA,""
"cg21952723","17",4900665,"INCA1","5'UTR","M","other","",NA,NA,NA,TRUE,NA,""
"cg02624574","17",4900769,"INCA1","5'UTR","M","other","",NA,NA,NA,TRUE,NA,""
"cg22116712","17",4900376,"KIF1C","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg08001603","17",4901107,"INCA1","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg11725799","17",4900438,"KIF1C","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg17578717","17",4901060,"INCA1","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg27657473","17",4901092,"INCA1","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg11264817","17",4901584,"INCA1","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg09031716","17",4901392,"INCA1","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg26182097","17",4901578,"INCA1","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg18939077","17",4900630,"INCA1","5'UTR","M","other","",NA,NA,NA,TRUE,NA,""
"cg13771797","17",4901063,"INCA1","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg09307264","17",4902281,"INCA1","TSS1500","M","other","",NA,NA,NA,TRUE,NA,""
"cg16220183","17",56609687,"SEPT4","TSS1500","M","placental-specific","04-Sep",NA,TRUE,NA,NA,NA,""
"cg13262310","17",56609582,"SEPT4","TSS200","M","placental-specific","04-Sep",NA,TRUE,NA,NA,NA,""
"cg15417365","17",56609082,"SEPT4","Body","M","placental-specific","04-Sep",NA,TRUE,NA,NA,NA,""
"cg20417148","17",56609613,"SEPT4","TSS200","M","placental-specific","04-Sep",NA,TRUE,NA,NA,NA,""
"cg10641986","17",56609534,"SEPT4","TSS200","M","placental-specific","04-Sep",NA,TRUE,NA,NA,NA,""
"cg11738446","17",56609560,"SEPT4","TSS200","M","placental-specific","04-Sep",NA,TRUE,NA,NA,NA,""
"cg22174693","17",56609631,"SEPT4","TSS1500","M","placental-specific","04-Sep",NA,TRUE,NA,NA,NA,""
"cg01697732","17",66597500,"FAM20A","TSS1500","M","placental-specific","FAM20A",TRUE,TRUE,NA,NA,NA,""
"cg13591701","17",66597007,"FAM20A","5'UTR","M","placental-specific","FAM20A",TRUE,TRUE,NA,NA,NA,""
"cg11058154","17",66597378,"FAM20A","TSS1500","M","placental-specific","FAM20A",TRUE,TRUE,NA,NA,NA,""
"cg01036409","17",66597372,"FAM20A","TSS1500","M","placental-specific","FAM20A",TRUE,TRUE,NA,NA,NA,""
"cg20250080","17",66596999,"FAM20A","5'UTR","M","placental-specific","FAM20A",TRUE,TRUE,NA,NA,NA,""
"cg14688962","17",66596275,"FAM20A","Body","M","placental-specific","FAM20A",TRUE,TRUE,NA,NA,NA,""
"cg03776551","18",32956850,"ZNF396","5'UTR","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg08049373","18",32956512,"ZNF396","5'UTR","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg13346073","18",32957329,"ZNF396","TSS200","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg12598270","18",32957498,"ZNF396","TSS200","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg00647528","18",32957127,"ZNF396","5'UTR","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg02931457","18",32956723,"ZNF396","5'UTR","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg19586686","18",32957437,"ZNF396","TSS200","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg06225979","18",32957337,"ZNF396","TSS200","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg14957359","18",32957579,"ZNF396","TSS1500","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg26482862","18",32957463,"ZNF396","TSS200","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg22153695","18",32957405,"ZNF396","TSS200","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg22194807","18",32957683,"ZNF396","TSS1500","M","placental-specific","ZNF396",TRUE,TRUE,NA,NA,NA,""
"cg22205276","18",60052372,"TNFRSF11A","3'UTR","M","other","TNFRSF11A",NA,TRUE,NA,NA,NA,""
"cg25740602","18",60052464,"TNFRSF11A","3'UTR","M","other","TNFRSF11A",NA,TRUE,NA,NA,NA,""
"cg19524723","18",60052048,"TNFRSF11A","Body","M","other","TNFRSF11A",NA,TRUE,NA,NA,NA,""
"cg17804850","18",60052386,"TNFRSF11A","3'UTR","M","other","TNFRSF11A",NA,TRUE,NA,NA,NA,""
"cg16954577","18",60051870,"TNFRSF11A","Body","M","other","TNFRSF11A",NA,TRUE,NA,NA,NA,""
"cg26569518","19",1325052,"MUM1","5'UTR","M","other","MUM1",NA,TRUE,NA,NA,NA,""
"cg12192408","19",1325348,"MUM1","5'UTR","M","other","MUM1",NA,TRUE,NA,NA,NA,""
"cg14699651","19",1325099,"MUM1","5'UTR","M","other","MUM1",NA,TRUE,NA,NA,NA,""
"cg19024296","19",1324834,"MUM1","5'UTR","M","other","MUM1",NA,TRUE,NA,NA,NA,""
"cg21063296","19",10304422,"DNMT1","Body","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg08326996","19",10305125,"DNMT1","Body","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg11030227","19",10305992,"DNMT1","TSS1500","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg24477899","19",10305780,"DNMT1","TSS200","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg23401624","19",10305755,"DNMT1","TSS200","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg06128182","19",10305774,"DNMT1","TSS200","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg10635912","19",10305863,"DNMT1","TSS200","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg17445987","19",10305305,"DNMT1","Body","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg15043801","19",10305911,"DNMT1","TSS200","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg19803081","19",10304766,"DNMT1","Body","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg21892967","19",10306043,"DNMT1","TSS1500","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg16926196","19",10306012,"DNMT1","TSS1500","M","placental-specific","DNMT1",TRUE,TRUE,NA,NA,NA,""
"cg10608596","19",11785125,"ZNF833","Body","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg10123421","19",11785062,"ZNF833","Body","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg15209566","19",11784774,"ZNF833","TSS200","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg00965023","19",11785188,"ZNF833","Body","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg02274869","19",11784955,"ZNF833","Body","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg04598224","19",11784514,"ZNF833","TSS1500","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg27426146","19",11785337,"ZNF833","Body","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg22351510","19",11784246,"ZNF833","TSS1500","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg05950877","19",11784647,"ZNF833","TSS200","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg21771200","19",11784761,"ZNF833","TSS200","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg00777011","19",11784344,"ZNF833","TSS1500","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg25394203","19",11784708,"ZNF833","TSS200","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg26772540","19",11784672,"ZNF833","TSS200","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg26590664","19",11784731,"ZNF833","TSS200","M","placental-specific","ZNF833P",NA,TRUE,NA,NA,NA,""
"cg03087507","19",12076234,"ZNF763","Body","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg16359169","19",12076030,"ZNF763","Body","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg13913196","19",12075677,"ZNF763","TSS200","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg25603587","19",12076549,"ZNF763","Body","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg00920691","19",12075601,"ZNF763","TSS1500","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg22791632","19",12075848,"ZNF763","TSS200","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg13521889","19",12075705,"ZNF763","TSS200","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg25599269","19",12075882,"ZNF763","1stExon","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg10366407","19",12075804,"ZNF763","TSS200","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg06647417","19",12076051,"ZNF763","Body","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg17317439","19",12075960,"ZNF763","1stExon","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg08869571","19",12076348,"ZNF763","Body","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg02690491","19",12075772,"ZNF763","TSS200","M","other","ZNF763",NA,TRUE,NA,NA,NA,""
"cg12092090","19",13617584,"CACNA1A","TSS1500","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg07005612","19",13617490,"CACNA1A","TSS1500","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg17509967","19",13617094,"CACNA1A","5'UTR","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg07488625","19",13617171,"CACNA1A","1stExon","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg17509220","19",13617012,"CACNA1A","1stExon","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg26554567","19",13617382,"CACNA1A","TSS200","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg22491927","19",13617091,"CACNA1A","5'UTR","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg22187630","19",13616871,"CACNA1A","1stExon","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg03697708","19",13617549,"CACNA1A","TSS1500","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg10243075","19",13615439,"CACNA1A","Body","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg25766748","19",13614882,"CACNA1A","Body","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg13498519","19",13617963,"CACNA1A","TSS1500","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg03232879","19",13617970,"CACNA1A","TSS1500","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg03104569","19",13615864,"CACNA1A","Body","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg18011401","19",13617366,"CACNA1A","TSS200","M","placental-specific","CACNA1A",NA,NA,TRUE,NA,NA,""
"cg00538604","19",17438249,"ANO8","Body","M","other","ANO8",NA,TRUE,NA,NA,NA,""
"cg17648101","19",17438324,"ANO8","Body","M","other","ANO8",NA,TRUE,NA,NA,NA,""
"cg00650809","19",17439339,"ANO8","Body","M","other","ANO8",NA,TRUE,NA,NA,NA,""
"cg12526923","19",17439208,"ANO8","Body","M","other","ANO8",NA,TRUE,NA,NA,NA,""
"cg16262357","19",36266374,"SNX26","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg02341090","19",36266317,"SNX26","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg22862244","19",36266333,"SNX26","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg11299878","19",36266369,"SNX26","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg07536333","19",36266372,"SNX26","TSS200","M","other","",NA,NA,NA,TRUE,NA,""
"cg03007010","19",36266840,"SNX26","Body","M","other","",NA,NA,NA,TRUE,NA,""
"cg20493995","19",38527612,"SIPA1L3","5'UTR","M","other","",NA,NA,NA,TRUE,NA,""
"cg25402848","19",53538687,"","","M","other","ZNF331",NA,NA,NA,TRUE,NA,""
"cg14249148","19",53538883,"","","M","other","ZNF331",NA,NA,NA,TRUE,NA,""
"cg14593306","19",54041847,"ZNF331","TSS200","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg02061604","19",54041502,"ZNF331","TSS1500","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg03643149","19",54041519,"ZNF331","TSS1500","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg22475353","19",54041163,"ZNF331","TSS200","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg16020674","19",54040836,"ZNF331","TSS1500","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg10023249","19",54041303,"ZNF331","TSS200","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg04522821","19",54041329,"ZNF331","TSS200","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg26549991","19",54042023,"ZNF331","TSS200","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg20646939","19",54040774,"ZNF331","TSS1500","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg15576576","19",54040818,"ZNF331","TSS1500","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg15545827","19",54042165,"ZNF331","5'UTR","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg09204524","19",54041425,"ZNF331","TSS1500","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg27296330","19",54041251,"ZNF331","TSS200","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg03499639","19",54041856,"ZNF331","5'UTR","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg25409185","19",54041999,"ZNF331","5'UTR","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg06855497","19",54040813,"ZNF331","TSS1500","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg05338009","19",54041398,"ZNF331","1stExon","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg15607708","19",54041308,"ZNF331","TSS200","M","other","ZNF331",TRUE,TRUE,NA,NA,NA,""
"cg10410239","19",54057888,"ZNF331","TSS1500","M","other","",TRUE,NA,NA,NA,NA,""
"cg22815181","19",54057812,"ZNF331","TSS1500","M","other","",TRUE,NA,NA,NA,NA,""
"cg19696891","19",54057705,"ZNF331","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg12551529","19",54057916,"ZNF331","TSS1500","M","other","",TRUE,NA,NA,NA,NA,""
"cg20189116","19",54057821,"ZNF331","TSS1500","M","other","",TRUE,NA,NA,NA,NA,""
"cg06860848","19",54057208,"ZNF331","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg10823956","19",54057671,"ZNF331","TSS1500","M","other","",TRUE,NA,NA,NA,NA,""
"cg03490784","19",54057794,"ZNF331","TSS1500","M","other","",TRUE,NA,NA,NA,NA,""
"cg17223707","19",54057615,"ZNF331","TSS1500","M","other","",TRUE,NA,NA,NA,NA,""
"cg26418733","19",54058424,"ZNF331","TSS200","M","other","",TRUE,NA,NA,NA,NA,""
"cg21307424","19",54057899,"ZNF331","TSS1500","M","other","",TRUE,NA,NA,NA,NA,""
"cg03113572","19",54057415,"ZNF331","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg20071427","19",54058085,"ZNF331","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg12033021","19",54150900,"","","M","placental-specific","C19MC",TRUE,TRUE,NA,NA,NA,""
"cg15096240","19",54151185,"","","M","placental-specific","C19MC",TRUE,TRUE,NA,NA,NA,""
"cg09496161","19",54155607,"U6","TSS1500","M","placental-specific","C19MC",TRUE,TRUE,NA,NA,NA,""
"cg16187069","19",54151524,"","","M","placental-specific","C19MC",TRUE,TRUE,NA,NA,NA,""
"cg17018672","19",54153280,"","","M","placental-specific","C19MC",TRUE,TRUE,NA,NA,NA,""
"cg09065632","19",54151440,"","","M","placental-specific","C19MC",TRUE,TRUE,NA,NA,NA,""
"cg00886824","19",54151599,"","","M","placental-specific","C19MC",TRUE,TRUE,NA,NA,NA,""
"cg08759924","19",54151492,"","","M","placental-specific","C19MC",TRUE,TRUE,NA,NA,NA,""
"cg22664152","19",56726303,"","","M","other","",NA,NA,NA,TRUE,NA,""
"cg20897667","19",57351213,"MIMT1","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg15473155","19",57349204,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg25458871","19",57352584,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg19041006","19",57349679,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg07310951","19",57350503,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg19335327","19",57351642,"MIMT1","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg14849423","19",57351791,"MIMT1","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg12032885","19",57352542,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg26349266","19",57352074,"ZIM2","1stExon","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg22927979","19",57353128,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg19098268","19",57352269,"ZIM2","TSS200","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg24844423","19",57352465,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg18706888","19",57352686,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg01054891","19",57352729,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg22354595","19",57351440,"MIMT1","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg18516833","19",57350313,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg22294267","19",57352252,"ZIM2","TSS200","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg18668753","19",57352657,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg01656470","19",57350096,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg14904295","19",57348529,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg02478023","19",57351322,"MIMT1","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg02793099","19",57350004,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg19771589","19",57349815,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg10719746","19",57350846,"MIMT1","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg27519373","19",57350292,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg17663463","19",57349709,"PEG3","5'UTR","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg13369939","19",57352176,"ZIM2","TSS200","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg15777825","19",57352014,"ZIM2","1stExon","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg18644235","19",57352746,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg13960339","19",57352142,"ZIM2","TSS200","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg02162069","19",57352134,"ZIM2","TSS200","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg12205903","19",57352021,"ZIM2","1stExon","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg20628335","19",57352185,"ZIM2","TSS200","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg13374648","19",57352785,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg26917367","19",57352807,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg15678121","19",57352519,"PEG3","TSS1500","M","other","PEG3",TRUE,TRUE,NA,NA,NA,""
"cg17840843","20",30135158,"HM13","Body","M","other","MCTS2P/HM13",TRUE,TRUE,NA,NA,NA,""
"cg14175568","20",30135291,"HM13","Body","M","other","MCTS2P/HM13",TRUE,TRUE,NA,NA,NA,""
"cg02146091","20",30135177,"HM13","Body","M","other","MCTS2P/HM13",TRUE,TRUE,NA,NA,NA,""
"cg20129782","20",30135362,"HM13","Body","M","other","MCTS2P/HM13",TRUE,TRUE,NA,NA,NA,""
"cg25645178","20",30135149,"HM13","Body","M","other","MCTS2P/HM13",TRUE,TRUE,NA,NA,NA,""
"cg15815607","20",30135144,"HM13","Body","M","other","MCTS2P/HM13",TRUE,TRUE,NA,NA,NA,""
"cg25359645","20",30134929,"HM13","Body","M","other","MCTS2P/HM13",TRUE,TRUE,NA,NA,NA,""
"cg24607140","20",30134973,"HM13","Body","M","other","MCTS2P/HM13",TRUE,TRUE,NA,NA,NA,""
"cg06575144","20",30618966,"C20orf160","3'UTR","M","placental-specific","C20orf160",NA,TRUE,NA,NA,NA,""
"cg02182210","20",30619096,"C20orf160","3'UTR","M","placental-specific","C20orf160",NA,TRUE,NA,NA,NA,""
"cg07211292","20",30618874,"C20orf160","3'UTR","M","placental-specific","C20orf160",NA,TRUE,NA,NA,NA,""
"cg27531587","20",30619137,"C20orf160","3'UTR","M","placental-specific","C20orf160",NA,TRUE,NA,NA,NA,""
"cg21427956","20",30619244,"C20orf160","3'UTR","M","placental-specific","C20orf160",NA,TRUE,NA,NA,NA,""
"cg19755323","20",31547637,"EFCAB8","TSS200","M","other","MCTS2P/HM13/HM13",NA,NA,NA,TRUE,NA,""
"cg18594202","20",31547718,"EFCAB8","1stExon","M","other","MCTS2P/HM13/HM13",NA,NA,NA,TRUE,NA,""
